13:54:07.844 INFO  robinsonWar.pointsPileGameTest : Running: testPointsPileGame
13:55:00.094 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
13:55:36.351 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
13:56:43.858 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
13:57:35.466 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
13:59:33.568 INFO  testCardGame.pointsPileGameTest : Running: testPlayGame
13:59:33.588 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalWinPileForTwo
13:59:33.596 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
14:00:23.841 INFO  testCardGame.pointsPileGameTest : Running: testPlayGame
14:00:23.851 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalWinPileForTwo
14:00:23.851 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
14:15:26.098 INFO  testCardGame.basicWarGameTest : Running: testPrintFinalScoresForTwo
14:15:26.098 INFO  testCardGame.basicWarGameTest : Running: testPlayGame
14:15:26.098 INFO  testCardGame.basicWarGameTest : Running: testBasicWarGame
14:15:26.098 INFO  testCardGame.basicWarGameTest : Running: testDrawDeckForTwoPlayer
14:15:26.098 INFO  testCardGame.basicWarGameTest : Running: testSetTwoPlayerNames
14:16:27.846 INFO  testCardGame.basicWarGameTest : Running: testPrintFinalScoresForTwo
14:16:27.854 INFO  testCardGame.basicWarGameTest : Running: testPlayGame
14:16:27.870 INFO  testCardGame.basicWarGameTest : Running: testBasicWarGame
14:16:27.870 INFO  testCardGame.basicWarGameTest : Running: testDrawDeckForTwoPlayer
14:16:27.870 INFO  testCardGame.basicWarGameTest : Running: testSetTwoPlayerNames
14:16:56.518 INFO  testCardGame.pointsPileGameTest : Running: testPlayGame
14:16:56.538 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalWinPileForTwo
14:16:56.546 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
14:18:31.579 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalScoresForTwo
14:18:31.589 INFO  testCardGame.pointsPileGameTest : Running: testPlayGame
14:18:31.589 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalWinPileForTwo
14:18:31.599 INFO  testCardGame.pointsPileGameTest : Running: testDrawDeckForTwoPlayer
14:18:31.599 INFO  testCardGame.pointsPileGameTest : Running: testSetTwoPlayerNames
14:18:31.599 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
14:18:44.800 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalScoresForTwo
14:18:44.822 INFO  testCardGame.pointsPileGameTest : Running: testPlayGame
14:18:44.829 INFO  testCardGame.pointsPileGameTest : Running: testPrintFinalWinPileForTwo
14:18:44.833 INFO  testCardGame.pointsPileGameTest : Running: testDrawDeckForTwoPlayer
14:18:44.833 INFO  testCardGame.pointsPileGameTest : Running: testSetTwoPlayerNames
14:18:44.833 INFO  testCardGame.pointsPileGameTest : Running: testPointsPileGame
